name,class_name,jar_path,function_name,synthesis_result,final_status,error_summary
HarrisLalNoriRajamaniSAS2010Fig3,HarrisLalNoriRajamaniSAS2010Fig3,/home/benchmarking/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig3/HarrisLalNoriRajamaniSAS2010Fig3.jar,loop,Yes,Verified OK,
HeizmannHoenickeLeikePodelskiATVA2013Fig1,HeizmannHoenickeLeikePodelskiATVA2013Fig1,/home/benchmarking/termination-crafted-lit/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1/HeizmannHoenickeLeikePodelskiATVA2013Fig1.jar,loop,Yes,Verified OK,
HeizmannHoenickeLeikePodelskiATVA2013Fig4,HeizmannHoenickeLeikePodelskiATVA2013Fig4,/home/benchmarking/termination-crafted-lit/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4/HeizmannHoenickeLeikePodelskiATVA2013Fig4.jar,loop,Yes,Verified OK,
HeizmannHoenickeLeikePodelskiATVA2013Fig5,HeizmannHoenickeLeikePodelskiATVA2013Fig5,/home/benchmarking/termination-crafted-lit/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5/HeizmannHoenickeLeikePodelskiATVA2013Fig5.jar,loop,Yes,Verified OK,
HeizmannHoenickeLeikePodelskiATVA2013Fig6,HeizmannHoenickeLeikePodelskiATVA2013Fig6,/home/benchmarking/termination-crafted-lit/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6/HeizmannHoenickeLeikePodelskiATVA2013Fig6.jar,loop,Yes,Verified OK,
KroeningSharyginaTsitovichWintersteigerCAV2010Ex,KroeningSharyginaTsitovichWintersteigerCAV2010Ex,/home/benchmarking/termination-crafted-lit/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex/KroeningSharyginaTsitovichWintersteigerCAV2010Ex.jar,loop,Yes,Verified OK,
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1,KroeningSharyginaTsitovichWintersteigerCAV2010Fig1,/home/benchmarking/termination-crafted-lit/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1/KroeningSharyginaTsitovichWintersteigerCAV2010Fig1.jar,loop,No,LLM MaxFail,
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,/home/benchmarking/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1/LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1.jar,loop,Yes,Verified OK,
LeikeHeizmannTACAS2014Ex1,LeikeHeizmannTACAS2014Ex1,/home/benchmarking/termination-crafted-lit/LeikeHeizmann-TACAS2014-Ex1/LeikeHeizmannTACAS2014Ex1.jar,loop,Yes,Verified OK,
LeikeHeizmannTACAS2014Ex9,LeikeHeizmannTACAS2014Ex9,/home/benchmarking/termination-crafted-lit/LeikeHeizmann-TACAS2014-Ex9/LeikeHeizmannTACAS2014Ex9.jar,loop,Yes,Verified OK,
